id,rib_mm,web_mm,limit_g,mass_proxy_kg,peak_vm_ultimate_MPa,stress_margin,minimum_web_buckling_load_factor,critical_pocket,cross_rib_screen_load_factor,pass
F06D,12,6,2.5,54.73006989235901,416.5726470471431,-0.3998645811910263,0.5818330459378313,C27,10.061694038441908,False
F06D,12,6,3.8,54.73006989235901,633.1904235116575,-0.6051740665730436,0.38278489864331,C27,6.6195355516065195,False
F06D,12,6,6.0,54.73006989235901,999.7743529131434,-0.7499435754962609,0.24243043580742962,C27,4.192372516017462,False
F06D,12,4,3.8,50.59589388266634,897.9160969883153,-0.7215775495744863,0.13959543908168373,C27,5.6494704781209855,False
F06D,8,6,3.8,52.08754231991487,664.649507469282,-0.6238619043713739,0.3703796473281438,C12,3.120455164022425,False
F06D,8,4,3.8,47.85549491865018,965.239112481954,-0.7409968195785539,0.1259248459556687,C23,2.474201400333361,False
F06D,6,6,3.8,50.76039711581863,712.9922263686819,-0.6493650410842948,0.34383127814236636,C27,1.7603273564878499,False
F06D,6,4,3.8,46.4791961884763,1029.2231551653667,-0.7570983525338272,0.11598672496625254,C23,1.3921893110790577,False
F06D,4,4,3.8,45.09802257913351,1116.7618369757597,-0.7761384820625578,0.10044455656718387,C16,0.6560397249960152,False
F08D,12,6,2.5,52.65915420873646,409.0245926159687,-0.38878980747565006,0.7016175834881768,C13,13.355289939287248,False
F08D,12,6,3.8,52.65915420873646,621.7173807762724,-0.5978880312339804,0.461590515452748,C13,8.7863749600574,False
F08D,12,6,6.0,52.65915420873646,981.6590222783248,-0.7453290864481875,0.2923406597867404,C13,5.5647041413696865,False
F08D,12,4,3.8,48.8290677653663,807.2558640705979,-0.6903088461452955,0.15685321775539723,C16,6.943605847283455,False
F08D,8,6,3.8,49.9315430432392,604.7209326454168,-0.5865861647845593,0.4376220974455696,C26,3.536165540185323,False
F08D,8,4,3.8,46.00043396410989,877.3546519464869,-0.7150525167384096,0.13963635277103237,C16,3.028522475767571,False
F08D,6,6,3.8,48.5662001047182,661.9897308270309,-0.6223506372407435,0.3844438458487647,C23,2.022430967135569,False
F08D,6,4,3.8,44.58452276860662,970.0025958200938,-0.7422687309525846,0.11468694249150069,C23,1.723859673245275,False
F08D,4,4,3.8,43.17570828426775,1005.1261640128597,-0.7512750051178635,0.10190425764722144,C23,0.7586097773058225,False
