id,forward_fs_mm,aft_fs_mm,wing_mass_kg,primary_frame_mass_proxy_kg,hat_bracing_allowance_kg,comparison_mass_kg,mass_delta_from_A_kg,forward_peak_vm_ultimate_MPa,aft_peak_vm_ultimate_MPa,deflection_limit_mm,twist_limit_deg,wing_minimum_buckling_RF,bulkhead_stress_gate_pass
A,4000.0,5400.0,198.01449561266267,118.9180124787929,0.0,316.9325080914556,0.0,537.1168302954113,549.1863380123194,72.15739883426933,0.8308771010644636,1.150576035404916,False
B,4395.247826581926,5400.0,184.3661198838207,123.76193744591184,12.498164208882208,320.62622153861474,3.693713447159155,506.394854679143,549.1863380123194,60.049457785821076,0.8079555555710652,1.150576035404916,False
C,4395.247826581926,5361.34229399437,182.61830762915423,124.25699918398035,12.498164208882208,319.37347102201676,2.44096293056117,506.394854679143,528.5710653157661,60.871428887463,0.8105620324540043,1.150576035404916,False
S4100,4100.0,5400.0,193.97470079499598,119.92110675709016,2.12115408366719,316.0169616357533,-0.9155464557022697,508.52888135964645,549.1863380123194,68.40606188951809,0.8273392739814237,1.150576035404916,False
S4200,4200.0,5400.0,190.66138552302294,120.67549168519395,5.723113533917984,317.05999074213486,0.12748265067926923,505.4299284016148,549.1863380123194,64.6980901706801,0.8192343393308472,1.150576035404916,False
S4300,4300.0,5400.0,187.8297372357762,121.22911429629468,9.77544168626477,318.8342932183357,1.9017851268800996,505.1381303946325,549.1863380123194,61.88219234457169,0.8119411854346735,1.150576035404916,False
S4500,4500.0,5400.0,184.4568568726217,124.1374984548803,12.498164208882208,321.0925195363842,4.160011444928614,493.16152737704516,549.1863380123194,58.956315517792376,0.8064328560544771,1.150576035404916,False
